Common Name,Latin Name,DBH,Latitude,Longitude,Primary ID
White Pine,Pinus strobus,20,38.038060366,-84.50312923,7209
Black Walnut,Juglans nigra,31,38.033156970,-84.50303349,7206
Honey Locust,Gleditsia triacanthos,31,38.033111319,-84.50320583,7204
Red Oak,Quercus rubra,37,38.038228999,-84.50341638,7153
Weeping European Beech,Fagus sylvatica 'Pendula',24,38.038529300,-84.50330318,7152
Red Oak,Quercus rubra,20,38.040162863,-84.5068992,7110
Black Walnut,Juglans nigra,26,38.033017215,-84.50328446,7026
Southern Magnolia,Magnolia grandiflora,18,38.036272662,-84.50445693,6939
Maidenhair Tree,Ginkgo biloba,25,38.039527906,-84.50144321,6898
Maidenhair Tree,Ginkgo biloba,39,38.037356636,-84.50331137,6813
Japanese Pagoda Tree,Styphnolobium japonicum,60,38.039090487,-84.5037013,6771
Red Maple,Acer rubrum,22,38.039217566,-84.5043027,6770
Blue Ash,Fraxinus quadrangulata,32,38.039302286,-84.50440049,6733
Pin Oak,Quercus palustris,37,38.034378579,-84.50485889,6728
Norway Spruce,Picea abies,19,38.037413474,-84.503186,6723
Red Oak,Quercus rubra,19,38.032154452,-84.50218443,6710
Eastern Redbud,Cercis canadensis,18,38.037186513,-84.50240385,6627
White Pine,Pinus strobus,17,38.036399221,-84.50426947,6541
Chestnut Oak,Quercus montana,32,38.037776448,-84.50566279,6515
White Pine,Pinus strobus,23,38.036334020,-84.50411215,6476
Sugar Maple,Acer saccharum,21,38.034366020,-84.50142515,6467
White Ash,Fraxinus americana,17,38.033641250,-84.50702135,6459
White Ash,Fraxinus americana,46,38.034129228,-84.50171755,6439
Norway Spruce,Picea abies,19,38.036044390,-84.50737859,6159
Crabapple,Malus floribunda,18,38.034237440,-84.50540233,6143
Sugar Maple,Acer saccharum,23,38.034449830,-84.50558244,6138
Shumard Oak,Quercus shumardii,33,38.035206431,-84.50637754,6127
Willow Oak,Quercus phellos,20,38.038804800,-84.50605747,6116
White Ash,Fraxinus americana,22,38.039331774,-84.50483933,6113
Shumard Oak,Quercus shumardii,20,38.039319374,-84.50521225,6111
Shumard Oak,Quercus shumardii,43,38.040350836,-84.50461498,6108
Bur Oak,Quercus macrocarpa,34,38.040594944,-84.50472814,6101
Red Oak,Quercus rubra,36,38.036833919,-84.50665113,6087
Bur Oak,Quercus macrocarpa,53,38.037893236,-84.50705453,6077
Common Hackberry,Celtis occidentalis,25,38.037521724,-84.50666388,6072
Willow Oak,Quercus phellos,27,38.036462401,-84.5058507,6066
